Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
НФ-00000312,45,100,"Технониколь Техноблок Стандарт 100 мм/ 1200х600 / 0,72м2 (4 ПЛИТЫ / 2,88 м2 / 0,288 м3) 45 плотность",600х1200,4,"2,88","0,288",1 450 ₽,363 ₽,503 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000307,50,50,"IZOVOL Ст-50, 50мм / 1200х600 / 0,72м2 ( 8 ПЛИТ / 5,76 м2 / 0,29 м3) 50 плотность",600х1200,8,"5,76","0,29",1 350 ₽,169 ₽,234 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000305,80,50,"ISOROC пп-80, 50 мм, 1000х600 (6 ПЛИТ / 3,6 м2 / 0,18 м3) 80 плотность",600х1000,6,"3,6","0,18",1 380 ₽,230 ₽,383 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000306,80,100,"ISOROC пп-80, 100 мм, 1000х600 (3 ПЛИТЫ / 1,8 м2 / 0,18 м3) 80 плотность",600х1000,3,"1,8","0,18",1 380 ₽,460 ₽,767 ₽,,0,"0,00",0 ₽,,0,0,,,0
,110,80,"IZOLIFE ФАС ПРОФ 80мм 1200х600 (3 ПЛИТЫ / 2,16 м2 / 0,18 м3) 110 плотность",600х1200,3,"2,16","0,18",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000555,110,100,"IZOLIFE ФАС ОПТИМА 100мм 1200х600 (2 ПЛИТЫ / 1,44 м2 / 0,144 м3) 110 плотность",600х1200,2,"1,44","0,144",1 500 ₽,750 ₽,1 042 ₽,,0,"0,00",0 ₽,,0,0,,,0
,120,50,"Технониколь Технофас Оптима 50 мм/ 1200х600 / 0,72м2 (6 ПЛИТ / 4,32 м2 / 0,216 м3) 120 плотность",600х1200,6,"4,32","0,216",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
,120,100,"Технониколь Технофас Оптима 100мм/ 1200х600 / 0,72м2 (3 ПЛИТЫ / 2,16 м2 / 0,216 м3) 120 плотность",600х1200,3,"2,16","0,216",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000193,120,50,"ISOROC Изофас-СЛ 50 мм 1000х600 (6 ПЛИТ / 3,6 м2 / 0,18 м3) 120 плотность",600х1000,6,"3,6","0,18",2 100 ₽,350 ₽,583 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000195,120,100,"ISOROC Изофас-СЛ 100 мм 1000х600 (3 ПЛИТЫ / 1,8 м2 / 0,18 м3) 120 плотность",600х1000,3,"1,8","0,18",2 100 ₽,700 ₽,1 167 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000314,135,50,"Технониколь Технофас Эффект 50 мм/ 1200х600 / 0,72м2 (6 ПЛИТ / 4,32 м2 / 0,216 м3) 135 плотность",600х1200,6,"4,32","0,216",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000313,135,100,"Технониколь Технофас Эффект 100 мм/ 1200х600 / 0,72м2 (3 ПЛИТЫ / 2,16 м2 / 0,216 м3) 135 плотность",600х1200,3,"2,16","0,216",3 300 ₽,1 100 ₽,1 528 ₽,,0,"0,00",0 ₽,,0,0,,,0
,140,50,"ISOROC Изофас 140 50мм / 1000х600 / 0,6м2 (4 ПЛИТЫ / 2,4 м2 / 0,12 м3) 140 плотность",600х1000,4,"2,4","0,12",,,,,,,,,,,,,
,145,80,"IZOLIFE Фас Проф 80мм/ 1200х600 / 0,72 м2 (3 ПЛИТЫ / 2,16 м2 / 0,1728 м3) 145 плотность",600х1200,3,"2,16","0,173",,0 ₽,0 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000317,145,80,"Технониколь Технофас 80мм/ 1200х600 / 0,72м2 ( 3 ПЛИТЫ / 2,16 м2 / 0,1728 м3) 145 плотность",600х1200,3,"2,16","0,173",3 040 ₽,1 013 ₽,1 407 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,#DIV/0!,#DIV/0!,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,Стекловата,,,,,,,,,,,,,,,,,,,
00-00002893,11,50,"НЕМАН М11 Лайт 50 мм / 1200х6250 / 7,5м2 (РУЛОН 2 СЛОЯ / 15 м2 / 0,750 м3) 11 плотность",1200х6250,2,15,"0,75",1 100 ₽,550 ₽,73 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000255,"11,5",50,"Технониколь 40 RN СТАНДАРТ 50мм / 6150х1220 / 7,53м2 (РУЛОН 2 СЛОЯ / 15,06 м2 / 0,75 м3) 11,5 плотность",1220х6150,2,"15,06","0,75",1 300 ₽,650 ₽,86 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000247,"15,75",50,"Технониколь 37 PN ТЕПЛЫЙ КАРКАС 50мм / 1200х610 / 0,73м2 (10 ПЛИТ / 7,32 м2 / 0,366 м3) 15,75 плотность",610х1200,10,"7,32","0,366",910 ₽,91 ₽,124 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000250,"15,75",100,"Технониколь 37 PN ТЕПЛЫЙ КАРКАС 100мм / 1200х610 / 0,73м2 (5 ПЛИТ / 3,66 м2 / 0,366 м3) 15,75 плотность",610х1200,5,"3,66","0,366",910 ₽,182 ₽,249 ₽,,0,"0,00",0 ₽,,0,0,,,0
